DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,VISITOR_ACRONYM,HOME_ACRONYM
2022-10-18,Philadelphia 76ers,117,Boston Celtics,126,PHI,BOS
2022-10-18,Los Angeles Lakers,109,Golden State Warriors,123,LAL,GSW
2022-10-19,Orlando Magic,109,Detroit Pistons,113,ORL,DET
2022-10-19,Washington Wizards,114,Indiana Pacers,107,WAS,IND
2022-10-19,Houston Rockets,107,Atlanta Hawks,117,HOU,ATL
2022-10-19,New Orleans Pelicans,130,Brooklyn Nets,108,NOP,BKN
2022-10-19,New York Knicks,112,Memphis Grizzlies,115,NYK,MEM
2022-10-19,Chicago Bulls,116,Miami Heat,108,CHI,MIA
2022-10-19,Cleveland Cavaliers,105,Toronto Raptors,108,CLE,TOR
2022-10-19,Oklahoma City Thunder,108,Minnesota Timberwolves,115,OKC,MIN
2022-10-19,Charlotte Hornets,129,San Antonio Spurs,102,CHA,SAS
2022-10-19,Denver Nuggets,102,Utah Jazz,123,DEN,UTA
2022-10-19,Dallas Mavericks,105,Phoenix Suns,107,DAL,PHX
2022-10-19,Portland Trail Blazers,115,Sacramento Kings,108,POR,SAC
2022-10-20,Milwaukee Bucks,90,Philadelphia 76ers,88,MIL,PHI
2022-10-20,Los Angeles Clippers,103,Los Angeles Lakers,97,LAC,LAL
2022-10-21,New Orleans Pelicans,124,Charlotte Hornets,112,NOP,CHA
2022-10-21,San Antonio Spurs,137,Indiana Pacers,134,SAS,IND
2022-10-21,Chicago Bulls,100,Washington Wizards,102,CHI,WAS
2022-10-21,Orlando Magic,98,Atlanta Hawks,108,ORL,ATL
2022-10-21,Toronto Raptors,105,Brooklyn Nets,109,TOR,BKN
2022-10-21,Boston Celtics,111,Miami Heat,104,BOS,MIA
2022-10-21,Detroit Pistons,106,New York Knicks,130,DET,NYK
2022-10-21,Memphis Grizzlies,129,Houston Rockets,122,MEM,HOU
2022-10-21,Utah Jazz,132,Minnesota Timberwolves,126,UTA,MIN
2022-10-21,Denver Nuggets,128,Golden State Warriors,123,DEN,GSW
2022-10-21,Phoenix Suns,111,Portland Trail Blazers,113,PHX,POR
2022-10-22,San Antonio Spurs,114,Philadelphia 76ers,105,SAS,PHI
2022-10-22,Detroit Pistons,115,Indiana Pacers,124,DET,IND
