DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,VISITOR_ACRONYM,HOME_ACRONYM
2024-10-22,New York Knicks,109.0,Boston Celtics,132.0,NYK,BOS
2024-10-22,Minnesota Timberwolves,103.0,Los Angeles Lakers,110.0,MIN,LAL
2024-10-23,Indiana Pacers,115.0,Detroit Pistons,109.0,IND,DET
2024-10-23,Brooklyn Nets,116.0,Atlanta Hawks,120.0,BRK,ATL
2024-10-23,Orlando Magic,116.0,Miami Heat,97.0,ORL,MIA
2024-10-23,Milwaukee Bucks,124.0,Philadelphia 76ers,109.0,MIL,PHI
2024-10-23,Cleveland Cavaliers,136.0,Toronto Raptors,106.0,CLE,TOR
2024-10-23,Charlotte Hornets,110.0,Houston Rockets,105.0,CHO,HOU
2024-10-23,Chicago Bulls,111.0,New Orleans Pelicans,123.0,CHI,NOP
2024-10-23,Memphis Grizzlies,126.0,Utah Jazz,124.0,MEM,UTA
2024-10-23,Phoenix Suns,116.0,Los Angeles Clippers,113.0,PHO,LAC
2024-10-23,Golden State Warriors,140.0,Portland Trail Blazers,104.0,GSW,POR
2024-10-24,Boston Celtics,122.0,Washington Wizards,102.0,BOS,WAS
2024-10-24,San Antonio Spurs,109.0,Dallas Mavericks,120.0,SAS,DAL
2024-10-24,Minnesota Timberwolves,117.0,Sacramento Kings,115.0,MIN,SAC
2024-10-24,Oklahoma City Thunder,102.0,Denver Nuggets,87.0,OKC,DEN
2024-10-25,Brooklyn Nets,101.0,Orlando Magic,116.0,BRK,ORL
2024-10-25,Philadelphia 76ers,107.0,Toronto Raptors,115.0,PHI,TOR
2024-10-25,Charlotte Hornets,120.0,Atlanta Hawks,125.0,CHO,ATL
2024-10-25,Detroit Pistons,101.0,Cleveland Cavaliers,113.0,DET,CLE
2024-10-25,Indiana Pacers,98.0,New York Knicks,123.0,IND,NYK
2024-10-25,Memphis Grizzlies,108.0,Houston Rockets,128.0,MEM,HOU
2024-10-25,Chicago Bulls,133.0,Milwaukee Bucks,122.0,CHI,MIL
2024-10-25,Golden State Warriors,127.0,Utah Jazz,86.0,GSW,UTA
2024-10-25,Phoenix Suns,116.0,Los Angeles Lakers,123.0,PHO,LAL
2024-10-25,New Orleans Pelicans,105.0,Portland Trail Blazers,103.0,NOP,POR
2024-10-26,Los Angeles Clippers,109.0,Denver Nuggets,104.0,LAC,DEN
2024-10-26,Cleveland Cavaliers,135.0,Washington Wizards,116.0,CLE,WAS
2024-10-26,Boston Celtics,124.0,Detroit Pistons,118.0,BOS,DET
2024-10-26,Miami Heat,114.0,Charlotte Hornets,106.0,MIA,CHO
2024-10-26,Orlando Magic,111.0,Memphis Grizzlies,124.0,ORL,MEM
2024-10-26,Toronto Raptors,101.0,Minnesota Timberwolves,112.0,TOR,MIN
2024-10-26,Oklahoma City Thunder,114.0,Chicago Bulls,95.0,OKC,CHI
2024-10-26,Houston Rockets,106.0,San Antonio Spurs,109.0,HOU,SAS
2024-10-26,Dallas Mavericks,102.0,Phoenix Suns,114.0,DAL,PHO
2024-10-26,Sacramento Kings,127.0,Los Angeles Lakers,131.0,SAC,LAL
2024-10-27,Philadelphia 76ers,118.0,Indiana Pacers,114.0,PHI,IND
2024-10-27,New Orleans Pelicans,103.0,Portland Trail Blazers,125.0,NOP,POR
2024-10-27,Milwaukee Bucks,102.0,Brooklyn Nets,115.0,MIL,BRK
2024-10-27,Atlanta Hawks,104.0,Oklahoma City Thunder,128.0,ATL,OKC
2024-10-27,Los Angeles Clippers,112.0,Golden State Warriors,104.0,LAC,GSW
2024-10-28,Indiana Pacers,115.0,Orlando Magic,119.0,IND,ORL
2024-10-28,Washington Wizards,121.0,Atlanta Hawks,119.0,WAS,ATL
