DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,VISITOR_ACRONYM,HOME_ACRONYM
2024-10-28,Milwaukee Bucks,108.0,Boston Celtics,119.0,MIL,BOS
2024-10-28,Denver Nuggets,127.0,Toronto Raptors,125.0,DEN,TOR
2024-10-28,Detroit Pistons,98.0,Miami Heat,106.0,DET,MIA
2024-10-28,Cleveland Cavaliers,110.0,New York Knicks,104.0,CLE,NYK
2024-10-28,Houston Rockets,106.0,San Antonio Spurs,101.0,HOU,SAS
2024-10-28,Chicago Bulls,126.0,Memphis Grizzlies,123.0,CHI,MEM
2024-10-28,Utah Jazz,102.0,Dallas Mavericks,110.0,UTA,DAL
2024-10-28,Portland Trail Blazers,98.0,Sacramento Kings,111.0,POR,SAC
2024-10-28,Los Angeles Lakers,105.0,Phoenix Suns,109.0,LAL,PHO
2024-10-29,Denver Nuggets,144.0,Brooklyn Nets,139.0,DEN,BRK
2024-10-29,Dallas Mavericks,120.0,Minnesota Timberwolves,114.0,DAL,MIN
2024-10-29,Sacramento Kings,113.0,Utah Jazz,96.0,SAC,UTA
2024-10-29,New Orleans Pelicans,106.0,Golden State Warriors,124.0,NOP,GSW
2024-10-30,Detroit Pistons,105.0,Philadelphia 76ers,95.0,DET,PHI
2024-10-30,Atlanta Hawks,120.0,Washington Wizards,133.0,ATL,WAS
2024-10-30,Boston Celtics,132.0,Indiana Pacers,135.0,BOS,IND
2024-10-30,Los Angeles Lakers,110.0,Cleveland Cavaliers,134.0,LAL,CLE
2024-10-30,Toronto Raptors,133.0,Charlotte Hornets,138.0,TOR,CHO
2024-10-30,New York Knicks,116.0,Miami Heat,107.0,NYK,MIA
2024-10-30,Orlando Magic,99.0,Chicago Bulls,102.0,ORL,CHI
2024-10-30,Brooklyn Nets,119.0,Memphis Grizzlies,106.0,BRK,MEM
2024-10-30,San Antonio Spurs,93.0,Oklahoma City Thunder,105.0,SAS,OKC
2024-10-30,New Orleans Pelicans,89.0,Golden State Warriors,104.0,NOP,GSW
2024-10-30,Portland Trail Blazers,106.0,Los Angeles Clippers,105.0,POR,LAC
2024-10-31,Milwaukee Bucks,99.0,Memphis Grizzlies,122.0,MIL,MEM
2024-10-31,Houston Rockets,108.0,Dallas Mavericks,102.0,HOU,DAL
2024-10-31,San Antonio Spurs,106.0,Utah Jazz,88.0,SAS,UTA
2024-10-31,Phoenix Suns,125.0,Los Angeles Clippers,119.0,PHO,LAC
2024-11-01,Boston Celtics,124.0,Charlotte Hornets,109.0,BOS,CHO
2024-11-01,Orlando Magic,109.0,Cleveland Cavaliers,120.0,ORL,CLE
2024-11-01,New York Knicks,128.0,Detroit Pistons,98.0,NYK,DET
2024-11-01,Sacramento Kings,123.0,Atlanta Hawks,115.0,SAC,ATL
2024-11-01,Chicago Bulls,112.0,Brooklyn Nets,120.0,CHI,BRK
2024-11-01,Los Angeles Lakers,131.0,Toronto Raptors,125.0,LAL,TOR
2024-11-01,Indiana Pacers,118.0,New Orleans Pelicans,125.0,IND,NOP
2024-11-01,Denver Nuggets,116.0,Minnesota Timberwolves,119.0,DEN,MIN
2024-11-01,Oklahoma City Thunder,137.0,Portland Trail Blazers,114.0,OKC,POR
2024-11-02,Boston Celtics,113.0,Charlotte Hornets,103.0,BOS,CHO
2024-11-02,Memphis Grizzlies,124.0,Philadelphia 76ers,107.0,MEM,PHI
2024-11-02,Sacramento Kings,128.0,Toronto Raptors,131.0,SAC,TOR
2024-11-02,Golden State Warriors,127.0,Houston Rockets,121.0,GSW,HOU
2024-11-02,Cleveland Cavaliers,114.0,Milwaukee Bucks,113.0,CLE,MIL
2024-11-02,Minnesota Timberwolves,103.0,San Antonio Spurs,113.0,MIN,SAS
2024-11-02,Miami Heat,118.0,Washington Wizards,98.0,MIA,WAS
2024-11-02,Utah Jazz,103.0,Denver Nuggets,129.0,UTA,DEN
2024-11-02,Portland Trail Blazers,97.0,Phoenix Suns,103.0,POR,PHO
2024-11-02,Oklahoma City Thunder,105.0,Los Angeles Clippers,92.0,OKC,LAC
2024-11-03,Detroit Pistons,106.0,Brooklyn Nets,92.0,DET,BRK
2024-11-03,Atlanta Hawks,126.0,New Orleans Pelicans,111.0,ATL,NOP
2024-11-03,Orlando Magic,85.0,Dallas Mavericks,108.0,ORL,DAL
2024-11-04,Milwaukee Bucks,114.0,Cleveland Cavaliers,116.0,MIL,CLE
2024-11-04,Golden State Warriors,125.0,Washington Wizards,112.0,GSW,WAS
2024-11-04,Los Angeles Lakers,103.0,Detroit Pistons,115.0,LAL,DET
2024-11-04,Boston Celtics,123.0,Atlanta Hawks,93.0,BOS,ATL
2024-11-04,Memphis Grizzlies,104.0,Brooklyn Nets,106.0,MEM,BRK
2024-11-04,Sacramento Kings,111.0,Miami Heat,110.0,SAC,MIA
2024-11-04,Utah Jazz,135.0,Chicago Bulls,126.0,UTA,CHI
2024-11-04,New York Knicks,97.0,Houston Rockets,109.0,NYK,HOU
2024-11-04,Charlotte Hornets,93.0,Minnesota Timberwolves,114.0,CHO,MIN
2024-11-04,Orlando Magic,86.0,Oklahoma City Thunder,102.0,ORL,OKC
2024-11-04,Portland Trail Blazers,118.0,New Orleans Pelicans,100.0,POR,NOP
2024-11-04,Indiana Pacers,134.0,Dallas Mavericks,127.0,IND,DAL
2024-11-04,Toronto Raptors,119.0,Denver Nuggets,121.0,TOR,DEN
2024-11-04,Philadelphia 76ers,116.0,Phoenix Suns,118.0,PHI,PHO
2024-11-04,San Antonio Spurs,104.0,Los Angeles Clippers,113.0,SAS,LAC
2024-11-06,Detroit Pistons,107.0,Charlotte Hornets,108.0,DET,CHO
2024-11-06,Orlando Magic,111.0,Indiana Pacers,118.0,ORL,IND
2024-11-06,New York Knicks,116.0,Atlanta Hawks,121.0,NYK,ATL
2024-11-06,Golden State Warriors,118.0,Boston Celtics,112.0,GSW,BOS
2024-11-06,San Antonio Spurs,100.0,Houston Rockets,127.0,SAS,HOU
2024-11-06,Los Angeles Lakers,114.0,Memphis Grizzlies,131.0,LAL,MEM
2024-11-06,Cleveland Cavaliers,131.0,New Orleans Pelicans,122.0,CLE,NOP
2024-11-06,Chicago Bulls,99.0,Dallas Mavericks,119.0,CHI,DAL
2024-11-06,Oklahoma City Thunder,122.0,Denver Nuggets,124.0,OKC,DEN
2024-11-06,Miami Heat,112.0,Phoenix Suns,115.0,MIA,PHO
2024-11-06,Philadelphia 76ers,98.0,Los Angeles Clippers,110.0,PHI,LAC
2024-11-06,Toronto Raptors,107.0,Sacramento Kings,122.0,TOR,SAC
2024-11-07,Minnesota Timberwolves,135.0,Chicago Bulls,119.0,MIN,CHI
2024-11-07,Utah Jazz,100.0,Milwaukee Bucks,123.0,UTA,MIL
2024-11-07,Portland Trail Blazers,105.0,San Antonio Spurs,118.0,POR,SAS
2024-11-08,Indiana Pacers,83.0,Charlotte Hornets,103.0,IND,CHO
2024-11-08,Atlanta Hawks,121.0,Detroit Pistons,122.0,ATL,DET
2024-11-08,New Orleans Pelicans,88.0,Orlando Magic,115.0,NOP,ORL
2024-11-08,Brooklyn Nets,104.0,Boston Celtics,108.0,BRK,BOS
2024-11-08,Golden State Warriors,117.0,Cleveland Cavaliers,136.0,GSW,CLE
2024-11-08,Phoenix Suns,114.0,Dallas Mavericks,113.0,PHO,DAL
2024-11-08,Milwaukee Bucks,94.0,New York Knicks,116.0,MIL,NYK
2024-11-08,Washington Wizards,104.0,Memphis Grizzlies,128.0,WAS,MEM
2024-11-08,Houston Rockets,107.0,Oklahoma City Thunder,126.0,HOU,OKC
2024-11-08,Miami Heat,122.0,Denver Nuggets,135.0,MIA,DEN
2024-11-08,Portland Trail Blazers,102.0,Minnesota Timberwolves,127.0,POR,MIN
2024-11-08,Philadelphia 76ers,106.0,Los Angeles Lakers,116.0,PHI,LAL
2024-11-08,Los Angeles Clippers,107.0,Sacramento Kings,98.0,LAC,SAC
2024-11-09,Utah Jazz,111.0,San Antonio Spurs,110.0,UTA,SAS
2024-11-09,Chicago Bulls,125.0,Atlanta Hawks,113.0,CHI,ATL
2024-11-09,Brooklyn Nets,100.0,Cleveland Cavaliers,105.0,BRK,CLE
2024-11-09,Toronto Raptors,103.0,Los Angeles Clippers,105.0,TOR,LAC
2024-11-10,Houston Rockets,101.0,Detroit Pistons,99.0,HOU,DET
2024-11-10,Boston Celtics,113.0,Milwaukee Bucks,107.0,BOS,MIL
2024-11-10,New York Knicks,121.0,Indiana Pacers,132.0,NYK,IND
2024-11-10,Washington Wizards,94.0,Orlando Magic,121.0,WAS,ORL
2024-11-10,Miami Heat,95.0,Minnesota Timberwolves,94.0,MIA,MIN
2024-11-10,Golden State Warriors,127.0,Oklahoma City Thunder,116.0,GSW,OKC
2024-11-10,Charlotte Hornets,105.0,Philadelphia 76ers,107.0,CHO,PHI
2024-11-10,Dallas Mavericks,120.0,Denver Nuggets,122.0,DAL,DEN
2024-11-10,Sacramento Kings,127.0,Phoenix Suns,118.0,SAC,PHO
2024-11-10,Memphis Grizzlies,134.0,Portland Trail Blazers,89.0,MEM,POR
2024-11-10,Toronto Raptors,103.0,Los Angeles Lakers,123.0,TOR,LAL
2024-11-11,Cleveland Cavaliers,119.0,Chicago Bulls,113.0,CLE,CHI
2024-11-11,Washington Wizards,92.0,Houston Rockets,107.0,WAS,HOU
2024-11-11,Brooklyn Nets,107.0,New Orleans Pelicans,105.0,BRK,NOP
2024-11-11,Los Angeles Clippers,128.0,Oklahoma City Thunder,134.0,LAC,OKC
2024-11-11,Sacramento Kings,96.0,San Antonio Spurs,116.0,SAC,SAS
2024-11-12,Atlanta Hawks,117.0,Boston Celtics,116.0,ATL,BOS
2024-11-12,Miami Heat,121.0,Detroit Pistons,123.0,MIA,DET
2024-11-12,Charlotte Hornets,89.0,Orlando Magic,114.0,CHO,ORL
2024-11-12,New York Knicks,111.0,Philadelphia 76ers,99.0,NYK,PHI
2024-11-12,Toronto Raptors,85.0,Milwaukee Bucks,99.0,TOR,MIL
2024-11-12,Phoenix Suns,120.0,Utah Jazz,112.0,PHO,UTA
2024-11-12,Dallas Mavericks,117.0,Golden State Warriors,120.0,DAL,GSW
2024-11-12,Minnesota Timberwolves,108.0,Portland Trail Blazers,122.0,MIN,POR
2024-11-13,Indiana Pacers,90.0,Orlando Magic,94.0,IND,ORL
2024-11-13,Boston Celtics,139.0,Brooklyn Nets,114.0,BOS,BRK
2024-11-13,Chicago Bulls,124.0,New York Knicks,123.0,CHI,NYK
2024-11-13,New Orleans Pelicans,88.0,Oklahoma City Thunder,106.0,NOP,OKC
2024-11-13,Cleveland Cavaliers,114.0,Philadelphia 76ers,106.0,CLE,PHI
2024-11-13,Los Angeles Clippers,103.0,Houston Rockets,111.0,LAC,HOU
2024-11-13,Detroit Pistons,120.0,Milwaukee Bucks,127.0,DET,MIL
2024-11-13,Washington Wizards,130.0,San Antonio Spurs,139.0,WAS,SAS
2024-11-13,Memphis Grizzlies,123.0,Los Angeles Lakers,128.0,MEM,LAL
2024-11-13,Minnesota Timberwolves,98.0,Portland Trail Blazers,106.0,MIN,POR
2024-11-13,Phoenix Suns,104.0,Sacramento Kings,127.0,PHO,SAC
2024-11-14,Dallas Mavericks,113.0,Utah Jazz,115.0,DAL,UTA
2024-11-15,Miami Heat,,Indiana Pacers,,MIA,IND
2024-11-15,Philadelphia 76ers,,Orlando Magic,,PHI,ORL
2024-11-15,Detroit Pistons,,Toronto Raptors,,DET,TOR
2024-11-15,Washington Wizards,,Atlanta Hawks,,WAS,ATL
2024-11-15,Chicago Bulls,,Cleveland Cavaliers,,CHI,CLE
2024-11-15,Brooklyn Nets,,New York Knicks,,BRK,NYK
2024-11-15,Los Angeles Lakers,,San Antonio Spurs,,LAL,SAS
2024-11-15,Los Angeles Clippers,,Houston Rockets,,LAC,HOU
2024-11-15,Denver Nuggets,,New Orleans Pelicans,,DEN,NOP
2024-11-15,Phoenix Suns,,Oklahoma City Thunder,,PHO,OKC
2024-11-15,Memphis Grizzlies,,Golden State Warriors,,MEM,GSW
2024-11-15,Minnesota Timberwolves,,Sacramento Kings,,MIN,SAC
2024-11-16,Milwaukee Bucks,,Charlotte Hornets,,MIL,CHO
2024-11-16,Toronto Raptors,,Boston Celtics,,TOR,BOS
2024-11-16,Los Angeles Lakers,,New Orleans Pelicans,,LAL,NOP
2024-11-16,San Antonio Spurs,,Dallas Mavericks,,SAS,DAL
2024-11-16,Utah Jazz,,Sacramento Kings,,UTA,SAC
2024-11-17,Phoenix Suns,,Minnesota Timberwolves,,PHO,MIN
2024-11-17,Miami Heat,,Indiana Pacers,,MIA,IND
2024-11-17,Charlotte Hornets,,Cleveland Cavaliers,,CHO,CLE
2024-11-17,Denver Nuggets,,Memphis Grizzlies,,DEN,MEM
2024-11-17,Atlanta Hawks,,Portland Trail Blazers,,ATL,POR
2024-11-17,Detroit Pistons,,Washington Wizards,,DET,WAS
2024-11-17,Houston Rockets,,Chicago Bulls,,HOU,CHI
2024-11-17,Brooklyn Nets,,New York Knicks,,BRK,NYK
2024-11-17,Dallas Mavericks,,Oklahoma City Thunder,,DAL,OKC
2024-11-17,Utah Jazz,,Los Angeles Clippers,,UTA,LAC
2024-11-18,Chicago Bulls,,Detroit Pistons,,CHI,DET
2024-11-18,Philadelphia 76ers,,Miami Heat,,PHI,MIA
2024-11-18,Washington Wizards,,New York Knicks,,WAS,NYK
2024-11-18,Indiana Pacers,,Toronto Raptors,,IND,TOR
2024-11-18,Houston Rockets,,Milwaukee Bucks,,HOU,MIL
2024-11-18,Orlando Magic,,Phoenix Suns,,ORL,PHO
2024-11-18,Atlanta Hawks,,Sacramento Kings,,ATL,SAC
2024-11-18,Golden State Warriors,,Los Angeles Clippers,,GSW,LAC
2024-11-19,Cleveland Cavaliers,,Boston Celtics,,CLE,BOS
2024-11-19,Charlotte Hornets,,Brooklyn Nets,,CHO,BRK
2024-11-19,Denver Nuggets,,Memphis Grizzlies,,DEN,MEM
2024-11-19,New Orleans Pelicans,,Dallas Mavericks,,NOP,DAL
2024-11-19,Oklahoma City Thunder,,San Antonio Spurs,,OKC,SAS
2024-11-19,Utah Jazz,,Los Angeles Lakers,,UTA,LAL
2024-11-20,New Orleans Pelicans,,Cleveland Cavaliers,,NOP,CLE
2024-11-20,Chicago Bulls,,Milwaukee Bucks,,CHI,MIL
2024-11-20,Indiana Pacers,,Houston Rockets,,IND,HOU
2024-11-20,Philadelphia 76ers,,Memphis Grizzlies,,PHI,MEM
2024-11-20,Portland Trail Blazers,,Oklahoma City Thunder,,POR,OKC
2024-11-20,Atlanta Hawks,,Golden State Warriors,,ATL,GSW
2024-11-20,New York Knicks,,Phoenix Suns,,NYK,PHO
2024-11-20,Orlando Magic,,Los Angeles Clippers,,ORL,LAC
2024-11-21,Detroit Pistons,,Charlotte Hornets,,DET,CHO
2024-11-21,Minnesota Timberwolves,,Toronto Raptors,,MIN,TOR
2024-11-21,Utah Jazz,,San Antonio Spurs,,UTA,SAS
2024-11-21,Orlando Magic,,Los Angeles Lakers,,ORL,LAL
2024-11-22,Brooklyn Nets,,Philadelphia 76ers,,BRK,PHI
2024-11-22,Boston Celtics,,Washington Wizards,,BOS,WAS
2024-11-22,Golden State Warriors,,New Orleans Pelicans,,GSW,NOP
2024-11-22,Atlanta Hawks,,Chicago Bulls,,ATL,CHI
2024-11-22,Portland Trail Blazers,,Houston Rockets,,POR,HOU
2024-11-22,Indiana Pacers,,Milwaukee Bucks,,IND,MIL
2024-11-22,Dallas Mavericks,,Denver Nuggets,,DAL,DEN
2024-11-22,Sacramento Kings,,Los Angeles Clippers,,SAC,LAC
2024-11-23,New York Knicks,,Utah Jazz,,NYK,UTA
2024-11-23,Detroit Pistons,,Orlando Magic,,DET,ORL
2024-11-23,Memphis Grizzlies,,Chicago Bulls,,MEM,CHI
2024-11-23,Portland Trail Blazers,,Houston Rockets,,POR,HOU
2024-11-23,Charlotte Hornets,,Milwaukee Bucks,,CHO,MIL
2024-11-23,Golden State Warriors,,San Antonio Spurs,,GSW,SAS
2024-11-23,Denver Nuggets,,Los Angeles Lakers,,DEN,LAL
2024-11-24,Minnesota Timberwolves,,Boston Celtics,,MIN,BOS
2024-11-24,Washington Wizards,,Indiana Pacers,,WAS,IND
2024-11-24,Dallas Mavericks,,Miami Heat,,DAL,MIA
2024-11-24,Los Angeles Clippers,,Philadelphia 76ers,,LAC,PHI
2024-11-24,Toronto Raptors,,Cleveland Cavaliers,,TOR,CLE
2024-11-24,Brooklyn Nets,,Sacramento Kings,,BRK,SAC
2024-11-25,Orlando Magic,,Charlotte Hornets,,ORL,CHO
2024-11-25,Toronto Raptors,,Detroit Pistons,,TOR,DET
2024-11-25,New Orleans Pelicans,,Indiana Pacers,,NOP,IND
2024-11-25,Dallas Mavericks,,Atlanta Hawks,,DAL,ATL
2024-11-25,Los Angeles Clippers,,Boston Celtics,,LAC,BOS
2024-11-25,Portland Trail Blazers,,Memphis Grizzlies,,POR,MEM
2024-11-25,New York Knicks,,Denver Nuggets,,NYK,DEN
2024-11-25,Brooklyn Nets,,Golden State Warriors,,BRK,GSW
2024-11-25,Oklahoma City Thunder,,Sacramento Kings,,OKC,SAC
2024-11-26,Chicago Bulls,,Washington Wizards,,CHI,WAS
2024-11-26,Milwaukee Bucks,,Miami Heat,,MIL,MIA
2024-11-26,Houston Rockets,,Minnesota Timberwolves,,HOU,MIN
2024-11-26,San Antonio Spurs,,Utah Jazz,,SAS,UTA
2024-11-26,Los Angeles Lakers,,Phoenix Suns,,LAL,PHO
2024-11-27,Miami Heat,,Charlotte Hornets,,MIA,CHO
2024-11-27,Atlanta Hawks,,Cleveland Cavaliers,,ATL,CLE
2024-11-27,Portland Trail Blazers,,Indiana Pacers,,POR,IND
2024-11-27,Chicago Bulls,,Orlando Magic,,CHI,ORL
2024-11-27,Houston Rockets,,Philadelphia 76ers,,HOU,PHI
2024-11-27,Los Angeles Clippers,,Washington Wizards,,LAC,WAS
2024-11-27,New York Knicks,,Dallas Mavericks,,NYK,DAL
2024-11-27,Detroit Pistons,,Memphis Grizzlies,,DET,MEM
2024-11-27,Sacramento Kings,,Minnesota Timberwolves,,SAC,MIN
2024-11-27,Toronto Raptors,,New Orleans Pelicans,,TOR,NOP
2024-11-27,Los Angeles Lakers,,San Antonio Spurs,,LAL,SAS
2024-11-27,Brooklyn Nets,,Phoenix Suns,,BRK,PHO
2024-11-27,Denver Nuggets,,Utah Jazz,,DEN,UTA
2024-11-27,Oklahoma City Thunder,,Golden State Warriors,,OKC,GSW
2024-11-29,New York Knicks,,Charlotte Hornets,,NYK,CHO
2024-11-29,Cleveland Cavaliers,,Atlanta Hawks,,CLE,ATL
2024-11-29,New Orleans Pelicans,,Memphis Grizzlies,,NOP,MEM
2024-11-29,Orlando Magic,,Brooklyn Nets,,ORL,BRK
2024-11-29,Los Angeles Clippers,,Minnesota Timberwolves,,LAC,MIN
2024-11-29,Boston Celtics,,Chicago Bulls,,BOS,CHI
2024-11-29,Detroit Pistons,,Indiana Pacers,,DET,IND
2024-11-29,Toronto Raptors,,Miami Heat,,TOR,MIA
2024-11-29,Oklahoma City Thunder,,Los Angeles Lakers,,OKC,LAL
2024-11-29,Sacramento Kings,,Portland Trail Blazers,,SAC,POR
2024-11-30,Atlanta Hawks,,Charlotte Hornets,,ATL,CHO
2024-11-30,Philadelphia 76ers,,Detroit Pistons,,PHI,DET
2024-11-30,Washington Wizards,,Milwaukee Bucks,,WAS,MIL
2024-11-30,Golden State Warriors,,Phoenix Suns,,GSW,PHO
2024-11-30,Dallas Mavericks,,Utah Jazz,,DAL,UTA
2024-12-01,Orlando Magic,,Brooklyn Nets,,ORL,BRK
2024-12-01,Indiana Pacers,,Memphis Grizzlies,,IND,MEM
2024-12-01,Boston Celtics,,Cleveland Cavaliers,,BOS,CLE
2024-12-01,New Orleans Pelicans,,New York Knicks,,NOP,NYK
2024-12-01,Miami Heat,,Toronto Raptors,,MIA,TOR
2024-12-01,Oklahoma City Thunder,,Houston Rockets,,OKC,HOU
2024-12-01,Los Angeles Lakers,,Utah Jazz,,LAL,UTA
2024-12-01,Dallas Mavericks,,Portland Trail Blazers,,DAL,POR
2024-12-01,San Antonio Spurs,,Sacramento Kings,,SAS,SAC
2024-12-01,Denver Nuggets,,Los Angeles Clippers,,DEN,LAC
2024-12-02,New Orleans Pelicans,,Atlanta Hawks,,NOP,ATL
2024-12-02,Miami Heat,,Boston Celtics,,MIA,BOS
2024-12-02,Brooklyn Nets,,Chicago Bulls,,BRK,CHI
2024-12-02,Los Angeles Lakers,,Minnesota Timberwolves,,LAL,MIN
2024-12-03,Philadelphia 76ers,,Charlotte Hornets,,PHI,CHO
2024-12-03,Washington Wizards,,Cleveland Cavaliers,,WAS,CLE
2024-12-03,Milwaukee Bucks,,Detroit Pistons,,MIL,DET
2024-12-03,Memphis Grizzlies,,Dallas Mavericks,,MEM,DAL
2024-12-03,Orlando Magic,,New York Knicks,,ORL,NYK
2024-12-03,Indiana Pacers,,Toronto Raptors,,IND,TOR
2024-12-03,Utah Jazz,,Oklahoma City Thunder,,UTA,OKC
2024-12-03,San Antonio Spurs,,Phoenix Suns,,SAS,PHO
2024-12-03,Golden State Warriors,,Denver Nuggets,,GSW,DEN
2024-12-03,Houston Rockets,,Sacramento Kings,,HOU,SAC
2024-12-03,Portland Trail Blazers,,Los Angeles Clippers,,POR,LAC
2024-12-04,Detroit Pistons,,Boston Celtics,,DET,BOS
2024-12-04,Indiana Pacers,,Brooklyn Nets,,IND,BRK
2024-12-04,Los Angeles Lakers,,Miami Heat,,LAL,MIA
2024-12-04,Orlando Magic,,Philadelphia 76ers,,ORL,PHI
2024-12-04,Atlanta Hawks,,Milwaukee Bucks,,ATL,MIL
2024-12-04,Minnesota Timberwolves,,Los Angeles Clippers,,MIN,LAC
2024-12-05,Denver Nuggets,,Cleveland Cavaliers,,DEN,CLE
2024-12-05,Dallas Mavericks,,Washington Wizards,,DAL,WAS
2024-12-05,Charlotte Hornets,,New York Knicks,,CHO,NYK
2024-12-05,Oklahoma City Thunder,,Toronto Raptors,,OKC,TOR
2024-12-05,Sacramento Kings,,Memphis Grizzlies,,SAC,MEM
2024-12-05,Phoenix Suns,,New Orleans Pelicans,,PHO,NOP
2024-12-05,Chicago Bulls,,San Antonio Spurs,,CHI,SAS
2024-12-05,Houston Rockets,,Golden State Warriors,,HOU,GSW
2024-12-06,Orlando Magic,,Philadelphia 76ers,,ORL,PHI
2024-12-06,Los Angeles Lakers,,Atlanta Hawks,,LAL,ATL
2024-12-06,Milwaukee Bucks,,Boston Celtics,,MIL,BOS
2024-12-06,Indiana Pacers,,Chicago Bulls,,IND,CHI
2024-12-06,Sacramento Kings,,San Antonio Spurs,,SAC,SAS
2024-12-06,Minnesota Timberwolves,,Golden State Warriors,,MIN,GSW
2024-12-06,Utah Jazz,,Portland Trail Blazers,,UTA,POR
2024-12-07,Cleveland Cavaliers,,Charlotte Hornets,,CLE,CHO
2024-12-07,Oklahoma City Thunder,,New Orleans Pelicans,,OKC,NOP
2024-12-07,Denver Nuggets,,Washington Wizards,,DEN,WAS
2024-12-07,Detroit Pistons,,New York Knicks,,DET,NYK
2024-12-07,Dallas Mavericks,,Toronto Raptors,,DAL,TOR
2024-12-07,Memphis Grizzlies,,Boston Celtics,,MEM,BOS
2024-12-07,Phoenix Suns,,Miami Heat,,PHO,MIA
2024-12-08,Philadelphia 76ers,,Chicago Bulls,,PHI,CHI
2024-12-08,Milwaukee Bucks,,Brooklyn Nets,,MIL,BRK
2024-12-08,Charlotte Hornets,,Indiana Pacers,,CHO,IND
2024-12-08,Denver Nuggets,,Atlanta Hawks,,DEN,ATL
2024-12-08,Cleveland Cavaliers,,Miami Heat,,CLE,MIA
2024-12-08,Phoenix Suns,,Orlando Magic,,PHO,ORL
2024-12-08,New Orleans Pelicans,,San Antonio Spurs,,NOP,SAS
2024-12-08,Memphis Grizzlies,,Washington Wizards,,MEM,WAS
2024-12-08,Minnesota Timberwolves,,Golden State Warriors,,MIN,GSW
